City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Sokoni,TZ,2020-05-07 23:40:03,-6.43,39.55,81.57,80,98,20.85
165,Yulara,AU,2020-05-07 23:40:03,-25.24,130.99,60.8,36,0,5.82
166,Mount Isa,AU,2020-05-07 23:40:03,-20.73,139.5,75.2,38,34,4.7
167,Kalemie,CD,2020-05-07 23:40:04,-5.95,29.19,71.65,82,52,1.3
168,Yuancheng,CN,2020-05-07 23:40:04,36.65,107.79,55.42,70,100,21.63
169,Esso,RU,2020-05-07 23:40:04,55.93,158.7,30.18,92,48,4.43
170,Udachnyy,RU,2020-05-07 23:40:04,66.42,112.4,14.0,66,89,4.47
171,Hobyo,SO,2020-05-07 23:40:04,5.35,48.53,83.86,74,2,7.4
172,Bantry,IE,2020-05-07 23:40:04,51.68,-9.45,51.8,93,75,4.7
173,Zarand,IR,2020-05-07 23:40:04,30.81,56.56,63.16,28,0,3.56
174,Hofn,IS,2020-05-07 23:40:04,64.25,-15.21,41.07,78,64,13.22
175,Cidreira,BR,2020-05-07 23:40:05,-30.18,-50.21,57.61,82,81,6.15
176,Osypenko,UA,2020-05-07 23:40:05,46.91,36.83,53.01,100,100,4.0
177,Port Keats,AU,2020-05-07 23:40:05,-14.25,129.55,78.15,61,0,9.69
178,Aurillac,FR,2020-05-07 23:40:05,44.92,2.45,60.01,71,100,6.93
179,Miraflores,MX,2020-05-07 23:40:05,19.22,-98.81,66.2,42,75,8.05
180,Katsuura,JP,2020-05-07 23:40:05,35.13,140.3,64.0,42,98,1.99
181,Shirvan,AZ,2020-05-07 23:40:05,39.95,48.9,61.56,76,100,1.36
182,Airai,TL,2020-05-07 23:40:05,-8.93,125.41,64.85,76,3,3.76
183,Henties Bay,NA,2020-05-07 23:40:06,-22.12,14.28,80.01,25,0,1.99
184,Hambantota,LK,2020-05-07 23:40:06,6.12,81.12,81.25,79,99,10.2
185,Xuddur,SO,2020-05-07 23:40:06,4.12,43.89,74.59,86,94,10.2
186,Saldanha,ZA,2020-05-07 23:40:06,-33.01,17.94,62.28,89,94,11.18
187,Mar Del Plata,AR,2020-05-07 23:39:11,-38.0,-57.56,55.0,87,31,8.05
188,Paamiut,GL,2020-05-07 23:40:06,61.99,-49.67,37.36,83,80,0.72
189,Mpika,ZM,2020-05-07 23:40:06,-11.83,31.45,56.48,80,11,9.24
190,Mehamn,NO,2020-05-07 23:40:06,71.04,27.85,36.64,83,92,20.8
191,Whitehorse,CA,2020-05-07 23:40:06,60.72,-135.05,55.4,17,75,13.87
192,Yenagoa,NG,2020-05-07 23:40:07,4.92,6.26,76.68,87,38,1.97
193,Souillac,MU,2020-05-07 23:40:07,-20.52,57.52,73.4,94,40,4.7
194,Erenhot,CN,2020-05-07 23:40:07,43.65,111.98,56.28,35,99,6.33
195,Tomatlan,MX,2020-05-07 23:40:07,19.93,-105.25,84.16,55,0,5.26
196,Japura,ID,2020-05-07 23:40:07,-0.32,102.35,75.96,96,100,2.62
197,Outjo,NA,2020-05-07 23:40:07,-20.12,16.15,58.44,37,0,9.44
198,Codrington,AU,2020-05-07 23:40:07,-38.27,141.97,58.6,76,4,13.15
199,Torbay,CA,2020-05-07 23:35:13,47.67,-52.73,37.4,84,90,13.87
200,Tuatapere,NZ,2020-05-07 23:40:07,-46.13,167.68,54.72,80,71,6.24
201,Rossosh,RU,2020-05-07 23:40:07,51.12,38.51,52.52,69,93,3.74
202,Alta Floresta,BR,2020-05-07 23:40:08,-9.88,-56.09,72.54,97,82,3.24
203,Komsomolskiy,UZ,2020-05-07 23:40:08,40.43,71.72,64.4,48,100,9.17
204,Campeche,MX,2020-05-07 23:40:08,19.0,-90.5,87.19,50,34,6.33
205,Tuktoyaktuk,CA,2020-05-07 23:40:08,69.45,-133.04,17.6,92,90,13.87
206,Bonavista,CA,2020-05-07 23:40:08,48.65,-53.11,35.01,86,94,11.99
207,Hasaki,JP,2020-05-07 23:40:08,35.73,140.83,60.01,62,75,5.82
208,Sundargarh,IN,2020-05-07 23:40:08,22.12,84.03,78.37,27,0,2.24
209,San Patricio,MX,2020-05-07 23:40:08,19.22,-104.7,82.4,83,5,5.82
210,Baksanenok,RU,2020-05-07 23:40:09,43.69,43.65,51.8,87,100,2.24
211,Luderitz,NA,2020-05-07 23:40:09,-26.65,15.16,59.0,82,23,2.24
212,Coracora,PE,2020-05-07 23:40:09,-15.03,-73.78,52.25,72,97,0.2
213,Provideniya,RU,2020-05-07 23:40:09,64.38,-173.3,32.0,68,26,15.66
214,Nipawin,CA,2020-05-07 23:40:09,53.37,-104.0,50.0,39,1,13.87
215,Tibati,CM,2020-05-07 23:40:09,6.47,12.63,68.36,94,72,2.42
216,Santa Maria Del Rio,MX,2020-05-07 23:40:09,21.8,-100.75,75.2,27,20,13.87
